hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,777.0,43.0,10932.0,278.0
86,592.0,51.0,8349.0,208.0
87,707.0,1409.0,7515.0,209.0
110,483.0,484.0,5309.0,124.0
132,605.0,241.0,8431.0,203.0
134,5.0,0.0,0.0,0.0
135,584.0,72.0,8551.0,213.0
136,894.0,81.0,12268.0,302.0
137,627.0,24.0,9161.0,218.0
138,289.0,19.0,4200.0,102.0
139,538.0,525.0,6425.0,152.0
140,535.0,399.0,7114.0,177.0
141,812.0,7.0,1.0,0.0
142,1105.0,420.0,14221.0,324.0
143,50.0,0.0,0.0,0.0
144,235.0,177.0,2894.0,59.0
145,70.0,1.0,1083.0,26.0
146,971.0,41.0,13901.0,397.0
147,173.0,462.0,1261.0,39.0
148,350.0,139.0,5033.0,133.0
149,2619.0,2055.0,656.0,20.0
150,274.0,88.0,3723.0,70.0
188,5573.0,468.0,79014.0,2105.0
189,5500.0,1949.0,77011.0,1900.0
190,9345.0,791.0,133066.0,3373.0
191,5671.0,870.0,82624.0,2120.0
192,8088.0,735.0,116718.0,3054.0
193,9095.0,2508.0,127776.0,3261.0
194,220.0,136.0,47.0,2.0
195,9106.0,889.0,128087.0,3308.0
196,5292.0,503.0,76633.0,2027.0
296,407.0,12.0,5703.0,143.0
297,164.0,21.0,2376.0,74.0
344,418.0,89.0,5586.0,112.0
345,237.0,10.0,3385.0,98.0
346,251.0,617.0,1093.0,24.0
347,360.0,158.0,4892.0,120.0
348,1398.0,18.0,4.0,0.0
349,178.0,1.0,2732.0,69.0
350,292.0,17.0,4092.0,89.0
351,381.0,32.0,5261.0,126.0
352,163.0,213.0,1660.0,49.0
353,439.0,480.0,4875.0,141.0
366,505.0,582.0,5263.0,115.0
367,256.0,12.0,3779.0,103.0
368,257.0,32.0,3962.0,109.0
369,2130.0,73.0,17.0,0.0
370,357.0,45.0,4515.0,133.0
371,300.0,21.0,4963.0,116.0
372,2313.0,377.0,72.0,3.0
373,622.0,25.0,8838.0,215.0
374,390.0,0.0,0.0,0.0
375,83.0,34.0,1214.0,29.0
376,2005.0,0.0,0.0,0.0
377,509.0,296.0,7091.0,164.0
378,1686.0,129.0,29.0,1.0
379,120.0,5.0,1536.0,34.0
460,668.0,150.0,9176.0,251.0
461,395.0,870.0,2706.0,54.0
462,843.0,212.0,12117.0,303.0
463,334.0,57.0,4608.0,121.0
473,368.0,748.0,3691.0,98.0
474,414.0,691.0,4351.0,114.0
475,643.0,320.0,7255.0,177.0
476,654.0,1.0,0.0,0.0
477,209.0,74.0,2528.0,74.0
478,479.0,1087.0,3256.0,83.0
479,175.0,0.0,0.0,0.0
480,448.0,17.0,6248.0,137.0
580,1106.0,85.0,15496.0,378.0
581,837.0,128.0,28.0,2.0
