hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,8356.0,2907.0,743.0,24.0
86,7138.0,1676.0,376.0,10.0
87,9682.0,133.0,25.0,0.0
110,6207.0,164.0,28.0,1.0
132,8873.0,510.0,92.0,5.0
134,5.0,0.0,0.0,0.0
135,7908.0,1235.0,274.0,3.0
136,10874.0,2188.0,473.0,10.0
137,7108.0,2348.0,566.0,8.0
138,3007.0,1240.0,355.0,8.0
139,7381.0,222.0,37.0,0.0
140,7864.0,301.0,60.0,0.0
141,820.0,0.0,0.0,0.0
142,14881.0,973.0,210.0,6.0
143,50.0,0.0,0.0,0.0
144,3223.0,121.0,21.0,0.0
145,348.0,579.0,249.0,4.0
146,10300.0,3930.0,1041.0,39.0
147,1908.0,24.0,3.0,0.0
148,5306.0,289.0,57.0,3.0
149,5345.0,5.0,0.0,0.0
150,3798.0,297.0,59.0,1.0
188,68280.0,15341.0,3446.0,93.0
189,79921.0,5401.0,1010.0,28.0
190,113189.0,26918.0,6309.0,159.0
191,78424.0,10506.0,2303.0,52.0
192,102905.0,20915.0,4651.0,124.0
193,129634.0,10759.0,2183.0,64.0
194,405.0,0.0,0.0,0.0
195,114862.0,21670.0,4723.0,135.0
196,68650.0,12886.0,2840.0,79.0
296,4397.0,1491.0,366.0,11.0
297,2275.0,302.0,57.0,1.0
344,5517.0,569.0,117.0,2.0
345,1743.0,1467.0,507.0,13.0
346,1968.0,12.0,5.0,0.0
347,5150.0,315.0,64.0,1.0
348,1418.0,0.0,2.0,0.0
349,932.0,1342.0,691.0,15.0
350,3378.0,886.0,219.0,7.0
351,4787.0,832.0,179.0,2.0
352,2037.0,38.0,10.0,0.0
353,5756.0,153.0,24.0,2.0
366,6316.0,127.0,22.0,0.0
367,3048.0,895.0,201.0,6.0
368,3682.0,554.0,121.0,3.0
369,2220.0,0.0,0.0,0.0
370,4233.0,679.0,133.0,5.0
371,4016.0,1132.0,243.0,9.0
372,2765.0,0.0,0.0,0.0
373,6684.0,2407.0,598.0,11.0
374,390.0,0.0,0.0,0.0
375,1272.0,79.0,9.0,0.0
376,2005.0,0.0,0.0,0.0
377,7634.0,353.0,72.0,1.0
378,1845.0,0.0,0.0,0.0
379,1081.0,460.0,152.0,2.0
460,9290.0,783.0,168.0,4.0
461,3983.0,38.0,4.0,0.0
462,12022.0,1196.0,250.0,7.0
463,4540.0,491.0,89.0,0.0
473,4834.0,58.0,13.0,0.0
474,5460.0,93.0,17.0,0.0
475,7913.0,412.0,69.0,1.0
476,655.0,0.0,0.0,0.0
477,2664.0,184.0,35.0,2.0
478,4862.0,38.0,5.0,0.0
479,175.0,0.0,0.0,0.0
480,4968.0,1497.0,381.0,4.0
580,13367.0,3029.0,649.0,20.0
581,995.0,0.0,0.0,0.0
