Body
Date,Weight,BMI,Fat
"01-04-2018","82.3","24.05","18.372"
"02-04-2018","82","23.96","18.372"
"03-04-2018","81.7","23.87","18.372"
"04-04-2018","82.1","23.99","18.372"
"05-04-2018","81.7","23.87","18.372"
"06-04-2018","81.45","23.8","18.372"
"07-04-2018","81.21","23.73","18.372"
"08-04-2018","81.47","23.81","18.742"
"09-04-2018","81.31","23.76","18.927"
"10-04-2018","81.54","23.83","18.382"
"11-04-2018","81.25","23.74","18.315"
"12-04-2018","81","23.67","18.284"
"13-04-2018","80.59","23.55","17.705"
"14-04-2018","80.42","23.5","17.83"
"15-04-2018","81.32","23.76","17.413"
"16-04-2018","80.91","23.64","17.576"
"17-04-2018","80.6","23.55","17.829"
"18-04-2018","80.74","23.59","17.315"
"19-04-2018","80.6","23.55","17.965"
"20-04-2018","80.9","23.64","17.589"
"21-04-2018","80.41","23.49","17.399"
"22-04-2018","79.78","23.31","17.284"
"23-04-2018","79.99","23.37","17.464"
"24-04-2018","80.47","23.51","17.958"
"25-04-2018","79.77","23.31","17.287"
"26-04-2018","79.76","23.3","17.313"
"27-04-2018","79.64","23.27","17.315"
"28-04-2018","79.36","23.19","17.489"
"29-04-2018","79.26","23.16","17.586"
"30-04-2018","79.09","23.11","17.652"

