Body
Date,Weight,BMI,Fat
"01-02-2018","85.34","24.93","0"
"02-02-2018","85.36","24.94","0"
"03-02-2018","85.39","24.95","0"
"04-02-2018","85.42","24.96","0"
"05-02-2018","85.45","24.97","0"
"06-02-2018","85.5","24.98","0"
"07-02-2018","85.51","24.99","0"
"08-02-2018","85.52","24.99","0"
"09-02-2018","85.54","24.99","0"
"10-02-2018","85.55","25","0"
"11-02-2018","85.56","25","0"
"12-02-2018","85.57","25","0"
"13-02-2018","85.58","25.01","0"
"14-02-2018","85.6","25.01","0"
"15-02-2018","85.61","25.01","0"
"16-02-2018","85.62","25.02","0"
"17-02-2018","85.63","25.02","0"
"18-02-2018","85.64","25.02","0"
"19-02-2018","85.66","25.03","0"
"20-02-2018","85.67","25.03","0"
"21-02-2018","85.68","25.03","0"
"22-02-2018","85.7","25.04","0"
"23-02-2018","85.37","24.94","0"
"24-02-2018","85.21","24.9","0"
"25-02-2018","85.05","24.85","0"
"26-02-2018","84.88","24.8","0"
"27-02-2018","84.72","24.75","0"
"28-02-2018","84.56","24.71","0"

