Body
Date,Weight,BMI,Fat
"01-01-2018","84.5","24.69","0"
"02-01-2018","84.53","24.7","0"
"03-01-2018","84.56","24.71","0"
"04-01-2018","84.6","24.72","0"
"05-01-2018","84.63","24.73","0"
"06-01-2018","84.66","24.74","0"
"07-01-2018","84.69","24.75","0"
"08-01-2018","84.72","24.76","0"
"09-01-2018","84.76","24.76","0"
"10-01-2018","84.79","24.77","0"
"11-01-2018","84.82","24.78","0"
"12-01-2018","84.85","24.79","0"
"13-01-2018","84.88","24.8","0"
"14-01-2018","84.92","24.81","0"
"15-01-2018","84.95","24.82","0"
"16-01-2018","84.98","24.83","0"
"17-01-2018","85.01","24.84","0"
"18-01-2018","85.04","24.85","0"
"19-01-2018","85.08","24.86","0"
"20-01-2018","85.11","24.87","0"
"21-01-2018","85.14","24.88","0"
"22-01-2018","85.17","24.89","0"
"23-01-2018","85.2","24.9","0"
"24-01-2018","85.24","24.9","0"
"25-01-2018","85.27","24.91","0"
"26-01-2018","85.3","24.92","0"
"27-01-2018","85.33","24.93","0"
"28-01-2018","85.36","24.94","0"
"29-01-2018","85.4","24.95","0"
"30-01-2018","85.43","24.96","0"
"31-01-2018","85.46","24.97","0"

