hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,6873.0,2062.0,3013.0,82.0
86,7238.0,1027.0,911.0,24.0
87,9836.0,0.0,3.0,1.0
110,3558.0,1028.0,1780.0,34.0
132,8434.0,616.0,420.0,10.0
134,5.0,0.0,0.0,0.0
135,6643.0,1369.0,1367.0,41.0
136,9077.0,2051.0,2374.0,43.0
137,5899.0,1695.0,2379.0,57.0
138,4410.0,109.0,90.0,1.0
139,5259.0,1109.0,1238.0,34.0
140,7085.0,661.0,463.0,16.0
141,820.0,0.0,0.0,0.0
142,8798.0,2663.0,4490.0,119.0
143,50.0,0.0,0.0,0.0
144,3059.0,147.0,154.0,5.0
145,1177.0,0.0,3.0,0.0
146,12337.0,1607.0,1328.0,38.0
147,769.0,282.0,861.0,23.0
148,3398.0,941.0,1275.0,41.0
149,5189.0,101.0,58.0,2.0
150,2288.0,635.0,1199.0,33.0
188,57804.0,13278.0,15695.0,383.0
189,53258.0,13985.0,18686.0,431.0
190,101536.0,21120.0,23370.0,549.0
191,59088.0,14456.0,17301.0,440.0
192,83262.0,19703.0,24983.0,647.0
193,94627.0,22157.0,25166.0,690.0
194,405.0,0.0,0.0,0.0
195,74438.0,23672.0,42199.0,1081.0
196,52023.0,14033.0,17923.0,476.0
296,4040.0,981.0,1212.0,32.0
297,2635.0,0.0,0.0,0.0
344,3763.0,1040.0,1361.0,41.0
345,3730.0,0.0,0.0,0.0
346,1985.0,0.0,0.0,0.0
347,3272.0,976.0,1249.0,33.0
348,528.0,148.0,721.0,23.0
349,1389.0,481.0,1082.0,28.0
350,3217.0,528.0,724.0,21.0
351,3218.0,987.0,1557.0,38.0
352,2085.0,0.0,0.0,0.0
353,3143.0,986.0,1771.0,35.0
366,4978.0,809.0,650.0,28.0
367,2996.0,510.0,623.0,21.0
368,3827.0,285.0,242.0,6.0
369,1020.0,384.0,797.0,19.0
370,2242.0,636.0,2127.0,45.0
371,5175.0,117.0,107.0,1.0
372,1146.0,392.0,1209.0,18.0
373,8257.0,799.0,629.0,15.0
374,224.0,64.0,98.0,4.0
375,1360.0,0.0,0.0,0.0
376,1969.0,17.0,19.0,0.0
377,5879.0,1039.0,1114.0,28.0
378,628.0,128.0,1070.0,19.0
379,1695.0,0.0,0.0,0.0
460,7802.0,1174.0,1235.0,34.0
461,3110.0,494.0,406.0,15.0
462,5871.0,2090.0,5375.0,139.0
463,2883.0,784.0,1421.0,32.0
473,4905.0,0.0,0.0,0.0
474,5568.0,0.0,2.0,0.0
475,4097.0,1325.0,2906.0,67.0
476,655.0,0.0,0.0,0.0
477,2885.0,0.0,0.0,0.0
478,3906.0,508.0,480.0,11.0
479,175.0,0.0,0.0,0.0
480,5580.0,681.0,571.0,18.0
580,10573.0,2676.0,3719.0,97.0
581,589.0,146.0,253.0,7.0
582,3515.0,1231.0,4398.0,126.0
583,6161.0,99.0,93.0,2.0
584,3608.0,1034.0,4124.0,124.0
644,6937.0,1293.0,1335.0,30.0
645,6089.0,1468.0,2100.0,53.0
646,6765.0,321.0,258.0,6.0
735,3576.0,1148.0,3148.0,73.0
736,115.0,0.0,0.0,0.0
737,15256.0,2903.0,2787.0,69.0
990,5964.0,2006.0,5275.0,130.0
991,9047.0,2572.0,3875.0,101.0
992,17571.0,2133.0,1942.0,49.0
993,9998.0,1297.0,1266.0,29.0
994,13098.0,2228.0,2311.0,58.0
995,11182.0,3642.0,6806.0,175.0
996,11578.0,2058.0,2301.0,63.0
997,3992.0,695.0,777.0,21.0
998,17781.0,5366.0,9012.0,226.0
999,5160.0,208.0,183.0,4.0
1000,750.0,0.0,0.0,0.0
1001,1580.0,0.0,0.0,0.0
1002,8935.0,1596.0,1521.0,43.0
1003,970.0,0.0,0.0,0.0
1004,730.0,0.0,0.0,0.0
1005,543.0,165.0,301.0,6.0
1006,48017.0,11111.0,13830.0,337.0
1007,311.0,50.0,594.0,15.0
1008,2069.0,623.0,788.0,20.0
1009,19167.0,5026.0,6915.0,182.0
1010,3995.0,0.0,0.0,0.0
1011,35.0,0.0,0.0,0.0
1012,1924.0,680.0,1827.0,59.0
1013,809.0,276.0,644.0,16.0
1014,3959.0,1240.0,2325.0,76.0
1056,1645.0,0.0,0.0,0.0
1057,1990.0,330.0,288.0,7.0
1058,4339.0,514.0,431.0,11.0
1059,1745.0,0.0,0.0,0.0
1060,3896.0,645.0,492.0,22.0
1061,2680.0,1047.0,1950.0,58.0
1062,2876.0,84.0,49.0,1.0
1063,1557.0,387.0,2557.0,59.0
1064,3239.0,660.0,817.0,19.0
1065,4670.0,0.0,0.0,0.0
1066,10.0,0.0,0.0,0.0
1067,13637.0,3759.0,5080.0,134.0
1068,2280.0,251.0,220.0,4.0
1069,1105.0,0.0,0.0,0.0
1194,9946.0,3465.0,7489.0,200.0
1200,7066.0,971.0,1108.0,35.0
1201,6486.0,490.0,273.0,6.0
