hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,11966.0,58.0,6.0,0.0
86,9190.0,10.0,0.0,0.0
87,9836.0,4.0,0.0,0.0
110,6339.0,48.0,13.0,0.0
132,9475.0,5.0,0.0,0.0
134,5.0,0.0,0.0,0.0
135,9385.0,29.0,6.0,0.0
136,13481.0,55.0,8.0,1.0
137,9959.0,58.0,13.0,0.0
138,4607.0,3.0,0.0,0.0
139,7599.0,33.0,8.0,0.0
140,8220.0,5.0,0.0,0.0
141,820.0,0.0,0.0,0.0
142,15929.0,113.0,27.0,1.0
143,50.0,0.0,0.0,0.0
144,3363.0,2.0,0.0,0.0
145,1179.0,1.0,0.0,0.0
146,15268.0,35.0,7.0,0.0
147,1897.0,33.0,5.0,0.0
148,5628.0,24.0,2.0,1.0
149,5349.0,1.0,0.0,0.0
150,4114.0,32.0,9.0,0.0
188,86735.0,357.0,66.0,2.0
189,85787.0,466.0,105.0,2.0
190,145941.0,519.0,112.0,3.0
191,90836.0,372.0,74.0,3.0
192,127845.0,627.0,121.0,2.0
193,141985.0,561.0,91.0,3.0
194,405.0,0.0,0.0,0.0
195,140058.0,1093.0,238.0,1.0
196,83996.0,387.0,70.0,2.0
296,6239.0,24.0,2.0,0.0
297,2635.0,0.0,0.0,0.0
344,6157.0,36.0,12.0,0.0
345,3730.0,0.0,0.0,0.0
346,1985.0,0.0,0.0,0.0
347,5493.0,31.0,6.0,0.0
348,1387.0,28.0,5.0,0.0
349,2937.0,36.0,7.0,0.0
350,4463.0,21.0,6.0,0.0
351,5744.0,46.0,10.0,0.0
352,2085.0,0.0,0.0,0.0
353,5884.0,43.0,8.0,0.0
366,6449.0,13.0,3.0,0.0
367,4126.0,19.0,5.0,0.0
368,4355.0,4.0,1.0,0.0
369,2194.0,20.0,6.0,0.0
370,4941.0,94.0,14.0,1.0
371,5391.0,8.0,1.0,0.0
372,2717.0,42.0,6.0,0.0
373,9688.0,9.0,3.0,0.0
374,389.0,1.0,0.0,0.0
375,1360.0,0.0,0.0,0.0
376,2003.0,2.0,0.0,0.0
377,8023.0,30.0,7.0,0.0
378,1777.0,54.0,13.0,1.0
379,1695.0,0.0,0.0,0.0
460,10207.0,34.0,4.0,0.0
461,4020.0,3.0,2.0,0.0
462,13244.0,191.0,39.0,1.0
463,5073.0,37.0,10.0,0.0
473,4905.0,0.0,0.0,0.0
474,5568.0,0.0,2.0,0.0
475,8292.0,84.0,19.0,0.0
476,655.0,0.0,0.0,0.0
477,2885.0,0.0,0.0,0.0
478,4895.0,7.0,3.0,0.0
479,175.0,0.0,0.0,0.0
480,6840.0,9.0,1.0,0.0
580,16966.0,84.0,15.0,0.0
581,985.0,8.0,1.0,1.0
582,9080.0,162.0,28.0,0.0
583,6350.0,3.0,2.0,0.0
584,8689.0,156.0,44.0,1.0
644,9567.0,22.0,6.0,0.0
645,9655.0,44.0,11.0,0.0
646,7340.0,9.0,1.0,0.0
735,7813.0,110.0,22.0,0.0
736,115.0,0.0,0.0,0.0
737,20934.0,68.0,13.0,0.0
990,13176.0,167.0,31.0,1.0
991,15489.0,83.0,22.0,1.0
992,21642.0,44.0,9.0,0.0
993,12545.0,37.0,8.0,0.0
994,17646.0,42.0,7.0,0.0
995,21554.0,207.0,44.0,0.0
996,15937.0,52.0,10.0,1.0
997,5467.0,15.0,3.0,0.0
998,32086.0,246.0,52.0,1.0
999,5548.0,4.0,3.0,0.0
1000,750.0,0.0,0.0,0.0
1001,1580.0,0.0,0.0,0.0
1002,12060.0,27.0,8.0,0.0
1003,970.0,0.0,0.0,0.0
1004,730.0,0.0,0.0,0.0
1005,1007.0,8.0,0.0,0.0
1006,72878.0,351.0,66.0,0.0
1007,918.0,46.0,6.0,0.0
1008,3487.0,12.0,0.0,1.0
1009,31048.0,203.0,38.0,1.0
1010,3995.0,0.0,0.0,0.0
1011,35.0,0.0,0.0,0.0
1012,4403.0,70.0,17.0,0.0
1013,1736.0,7.0,2.0,0.0
1014,7517.0,74.0,9.0,0.0
1056,1645.0,0.0,0.0,0.0
1057,2611.0,3.0,1.0,0.0
1058,5287.0,7.0,1.0,0.0
1059,1745.0,0.0,0.0,0.0
1060,5042.0,9.0,4.0,0.0
1061,5658.0,67.0,9.0,1.0
1062,3007.0,3.0,0.0,0.0
1063,4423.0,115.0,22.0,0.0
1064,4716.0,16.0,3.0,0.0
