hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,6263.0,2050.0,3625.0,92.0
86,6844.0,1176.0,1145.0,35.0
87,9836.0,0.0,3.0,1.0
110,3279.0,1005.0,2072.0,44.0
132,8166.0,741.0,560.0,13.0
134,5.0,0.0,0.0,0.0
135,6177.0,1486.0,1711.0,46.0
136,8366.0,2249.0,2873.0,57.0
137,5410.0,1703.0,2852.0,65.0
138,4349.0,142.0,117.0,2.0
139,4908.0,1183.0,1505.0,44.0
140,6792.0,794.0,622.0,17.0
141,820.0,0.0,0.0,0.0
142,8061.0,2601.0,5276.0,132.0
143,50.0,0.0,0.0,0.0
144,3002.0,166.0,191.0,6.0
145,1177.0,0.0,3.0,0.0
146,11701.0,1852.0,1708.0,49.0
147,709.0,242.0,960.0,24.0
148,3126.0,940.0,1542.0,47.0
149,5128.0,138.0,82.0,2.0
150,2116.0,612.0,1389.0,38.0
188,53407.0,14093.0,19196.0,464.0
189,48936.0,14416.0,22488.0,520.0
190,94180.0,23010.0,28698.0,687.0
191,54380.0,15242.0,21112.0,551.0
192,76801.0,20773.0,30239.0,782.0
193,87185.0,23661.0,30956.0,838.0
194,405.0,0.0,0.0,0.0
195,68123.0,22775.0,49213.0,1279.0
196,47706.0,14451.0,21720.0,578.0
296,3718.0,1031.0,1479.0,37.0
297,2635.0,0.0,0.0,0.0
344,3454.0,1056.0,1649.0,46.0
345,3730.0,0.0,0.0,0.0
346,1985.0,0.0,0.0,0.0
347,2990.0,972.0,1531.0,37.0
348,491.0,122.0,784.0,23.0
349,1271.0,457.0,1221.0,31.0
350,3024.0,577.0,860.0,29.0
351,2943.0,950.0,1869.0,38.0
352,2085.0,0.0,0.0,0.0
353,2885.0,939.0,2073.0,38.0
366,4664.0,934.0,834.0,33.0
367,2814.0,560.0,752.0,24.0
368,3713.0,336.0,303.0,8.0
369,915.0,362.0,916.0,27.0
370,2102.0,562.0,2337.0,49.0
371,5108.0,160.0,131.0,1.0
372,1065.0,335.0,1345.0,20.0
373,7897.0,982.0,801.0,20.0
374,202.0,67.0,117.0,4.0
375,1360.0,0.0,0.0,0.0
376,1964.0,20.0,21.0,0.0
377,5497.0,1148.0,1377.0,38.0
378,613.0,85.0,1128.0,19.0
379,1695.0,0.0,0.0,0.0
460,7351.0,1328.0,1520.0,46.0
461,2923.0,555.0,529.0,18.0
462,5410.0,1839.0,6068.0,158.0
463,2671.0,758.0,1652.0,39.0
473,4905.0,0.0,0.0,0.0
474,5568.0,0.0,2.0,0.0
475,3753.0,1263.0,3299.0,80.0
476,655.0,0.0,0.0,0.0
477,2885.0,0.0,0.0,0.0
478,3691.0,597.0,603.0,14.0
479,175.0,0.0,0.0,0.0
480,5298.0,806.0,724.0,22.0
580,9788.0,2684.0,4475.0,118.0
581,555.0,140.0,291.0,9.0
582,3312.0,1018.0,4806.0,134.0
583,6113.0,126.0,114.0,2.0
584,3396.0,863.0,4497.0,134.0
644,6421.0,1488.0,1646.0,40.0
645,5612.0,1533.0,2505.0,60.0
646,6615.0,401.0,325.0,9.0
735,3282.0,1062.0,3514.0,87.0
736,115.0,0.0,0.0,0.0
737,14260.0,3146.0,3522.0,87.0
990,5490.0,1802.0,5941.0,142.0
991,8259.0,2593.0,4625.0,118.0
992,16754.0,2420.0,2458.0,63.0
993,9471.0,1514.0,1567.0,38.0
994,12241.0,2548.0,2835.0,71.0
995,10249.0,3449.0,7899.0,208.0
996,10805.0,2299.0,2812.0,84.0
997,3719.0,782.0,959.0,25.0
998,16319.0,5234.0,10562.0,270.0
999,5057.0,257.0,236.0,5.0
1000,750.0,0.0,0.0,0.0
1001,1580.0,0.0,0.0,0.0
1002,8306.0,1815.0,1922.0,52.0
1003,970.0,0.0,0.0,0.0
1004,730.0,0.0,0.0,0.0
1005,497.0,162.0,347.0,9.0
1006,44332.0,11763.0,16785.0,415.0
1007,300.0,43.0,612.0,15.0
1008,1904.0,598.0,974.0,24.0
1009,17572.0,5244.0,8253.0,221.0
1010,3995.0,0.0,0.0,0.0
1011,35.0,0.0,0.0,0.0
1012,1777.0,589.0,2062.0,62.0
1013,751.0,241.0,736.0,17.0
1014,3627.0,1200.0,2683.0,90.0
1056,1645.0,0.0,0.0,0.0
1057,1887.0,351.0,370.0,7.0
1058,4125.0,609.0,547.0,14.0
1059,1745.0,0.0,0.0,0.0
1060,3610.0,788.0,632.0,25.0
1061,2457.0,926.0,2289.0,63.0
1062,2838.0,103.0,67.0,2.0
1063,1499.0,293.0,2705.0,63.0
1064,2997.0,719.0,999.0,20.0
1065,4670.0,0.0,0.0,0.0
1066,10.0,0.0,0.0,0.0
1067,12454.0,3934.0,6064.0,158.0
1068,2165.0,304.0,280.0,6.0
1069,1105.0,0.0,0.0,0.0
1194,9127.0,3209.0,8538.0,226.0
1200,6683.0,1116.0,1338.0,43.0
1201,6270.0,604.0,373.0,8.0
1202,3749.0,1226.0,3945.0,110.0
1203,11089.0,2665.0,3606.0,90.0
1206,5215.0,1644.0,3958.0,93.0
1207,3545.0,311.0,240.0,4.0
1208,665.0,0.0,0.0,0.0
1291,900.0,0.0,0.0,0.0
1316,9607.0,1028.0,910.0,25.0
1317,3092.0,238.0,184.0,6.0
1318,3188.0,871.0,1191.0,30.0
1319,1170.0,0.0,0.0,0.0
1320,1524.0,456.0,2249.0,56.0
1332,7051.0,2407.0,3959.0,103.0
1333,20.0,0.0,0.0,0.0
1334,5767.0,0.0,3.0,0.0
1335,2989.0,897.0,2181.0,58.0
1336,9784.0,1982.0,2146.0,58.0
1337,1613.0,519.0,1627.0,41.0
1338,11432.0,1834.0,1850.0,44.0
1339,5117.0,64.0,67.0,2.0
1383,9470.0,0.0,0.0,0.0
1384,1335.0,0.0,0.0,0.0
1452,8075.0,2497.0,4578.0,120.0
1453,4142.0,1345.0,3002.0,91.0
1454,2649.0,763.0,1079.0,34.0
1455,13766.0,3054.0,3006.0,84.0
1456,10466.0,1881.0,1652.0,31.0
1457,8930.0,2346.0,2983.0,96.0
1458,7437.0,1821.0,1969.0,53.0
1459,9195.0,2964.0,7690.0,191.0
1460,2090.0,0.0,0.0,0.0
1461,5300.0,1663.0,4388.0,94.0
1462,9744.0,2313.0,2853.0,55.0
1463,2983.0,438.0,478.0,11.0
1464,7877.0,49.0,43.0,1.0
1540,203.0,92.0,106.0,4.0
1541,51.0,2.0,61.0,1.0
1542,55.0,0.0,0.0,0.0
1543,1625.0,0.0,0.0,0.0
1544,1485.0,0.0,0.0,0.0
1545,1955.0,0.0,0.0,0.0
1546,1325.0,0.0,0.0,0.0
1547,1098.0,291.0,335.0,6.0
1548,2470.0,0.0,0.0,0.0
1549,630.0,194.0,614.0,12.0
1550,570.0,0.0,0.0,0.0
1551,978.0,224.0,197.0,1.0
1552,590.0,125.0,1040.0,35.0
1553,1665.0,0.0,0.0,0.0
1554,75.0,0.0,0.0,0.0
1555,80.0,0.0,0.0,0.0
1556,1297.0,169.0,132.0,2.0
1557,1250.0,0.0,0.0,0.0
1558,630.0,0.0,0.0,0.0
1559,525.0,0.0,0.0,0.0
1560,295.0,0.0,0.0,0.0
