Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-03-26,Snack,105.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,2.4,10.1,0.8,0.0,0.0,0.0,0.0
2018-03-26,Pre/postworkout,445.4,7.0,3.4,0.0,0.9,0.0,15.0,300.0,480.0,54.2,3.6,15.6,34.9,0.0,0.0,45.0,0.0
2018-03-27,Lunch,543.8,24.7,5.5,8.4,3.0,0.0,384.2,315.4,271.0,46.3,7.6,11.3,31.8,32.5,0.0,10.3,28.0
2018-03-27,Dinner,770.0,22.3,7.8,0.5,6.3,0.0,0.0,258.5,436.3,74.4,4.3,17.9,64.5,13.3,35.3,2.1,14.0
2018-03-27,Snack,217.0,2.8,1.3,0.0,0.0,0.0,0.0,88.6,104.0,41.0,6.0,18.2,5.0,0.4,30.8,28.4,5.7
2018-03-28,Lunch,991.1,45.1,16.7,9.6,10.6,0.0,384.8,1401.8,556.0,86.8,12.9,24.5,56.4,232.5,160.0,14.3,32.0
2018-03-28,Dinner,814.0,22.9,7.9,0.5,6.3,0.0,0.0,258.5,436.3,75.0,4.4,18.4,73.4,13.3,35.3,2.1,14.0
2018-03-28,Snack,373.2,13.6,8.0,0.7,1.9,0.0,0.2,340.6,199.0,41.2,8.4,18.7,17.5,0.4,30.8,28.4,5.7
2018-03-28,Pre/postworkout,269.0,2.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,35.4,3.6,1.2,24.5,0.0,0.0,0.0,0.0
2018-03-29,Lunch,437.8,28.1,5.7,6.0,1.8,0.0,384.0,390.1,176.0,21.4,0.4,14.0,27.7,32.5,0.0,10.3,28.0
2018-03-29,Dinner,1650.0,37.0,2.0,0.0,0.0,0.0,40.0,1060.0,0.0,228.0,16.0,14.0,81.0,8.0,4.0,12.0,20.0
2018-03-29,Snack,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-04-03,Lunch,660.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
2018-04-03,Dinner,891.6,34.3,8.9,12.1,1.4,0.0,0.0,2164.3,300.0,58.3,11.8,26.3,84.1,7.0,200.0,6.6,17.0
2018-04-03,Snack,114.5,3.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,1.3,0.0,0.0,0.0,0.0
2018-04-03,Pre/postworkout,440.8,16.9,10.4,2.1,1.3,0.0,10.0,280.6,320.0,30.5,1.3,12.9,38.8,0.0,0.0,30.0,0.0
2018-04-04,Lunch,470.8,23.9,5.4,7.6,2.6,0.0,384.2,308.3,271.0,32.9,2.4,11.3,31.7,32.5,0.0,10.3,28.0
2018-04-04,Dinner,824.3,29.4,5.4,9.5,0.0,0.0,0.0,102.7,580.5,43.2,14.1,21.3,62.1,10.1,149.6,45.6,13.2
2018-04-04,Snack,227.0,3.9,1.9,0.0,0.0,0.0,0.0,83.6,104.0,43.5,5.5,22.9,2.4,0.3,22.5,19.3,5.7
2018-04-05,Lunch,470.8,23.9,5.4,7.6,2.6,0.0,384.2,308.3,271.0,32.9,2.4,11.3,31.7,32.5,0.0,10.3,28.0
2018-04-05,Dinner,1014.4,45.3,14.3,6.8,6.9,0.0,16.4,483.8,119.0,62.8,2.9,2.0,72.0,1.0,6.0,0.0,1.0
2018-04-05,Snack,144.3,0.3,0.0,0.0,0.0,0.0,0.0,0.7,131.0,34.5,4.9,21.9,1.4,0.0,60.2,2.2,0.6
2018-04-05,,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-06,Lunch,822.1,27.6,12.1,8.8,6.9,0.0,477.1,2820.6,1177.8,69.7,8.5,1.5,71.4,42.5,2.6,30.3,33.3
2018-04-06,Dinner,669.3,19.7,6.3,0.3,3.1,0.0,22.5,287.7,77.6,28.1,1.1,0.5,51.6,4.4,0.0,22.0,0.0
2018-04-06,Snack,529.3,14.5,3.7,1.5,6.0,0.0,0.0,640.7,131.0,89.5,9.2,23.8,9.0,0.0,60.2,2.2,0.6
2018-04-06,Pre/postworkout,280.0,4.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.3,3.0,56.8,0.0,0.0,0.0,0.0
2018-04-07,Lunch,909.8,29.4,15.0,7.2,2.4,0.0,384.6,1267.5,986.0,63.5,9.7,18.1,93.5,35.6,88.1,53.4,34.0
2018-04-07,Dinner,777.8,15.5,4.0,1.4,0.2,0.0,12.2,253.0,543.0,64.4,10.2,16.3,99.1,3.1,88.1,43.1,6.0
2018-04-07,Snack,27.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1.0,0.9,0.4,0.3,16.5,18.2,0.0
2018-04-07,Pre/postworkout,413.3,17.5,5.8,1.7,7.4,0.0,0.0,397.5,0.0,24.9,3.1,2.8,37.5,0.0,0.0,0.0,0.0
2018-04-08,Lunch,507.5,25.9,11.1,6.8,2.2,0.0,384.4,440.0,366.0,30.4,4.8,1.0,36.7,32.5,0.0,10.3,28.0
2018-04-08,Dinner,635.2,34.5,17.7,6.8,0.6,0.0,112.4,720.5,834.5,29.6,3.6,9.0,54.3,0.0,0.0,0.0,0.0
2018-04-08,Snack,60.0,0.4,0.1,0.1,0.1,0.0,0.0,1.0,168.0,15.0,1.6,13.7,0.8,21.6,60.7,1.1,0.9
2018-04-08,Pre/postworkout,329.6,5.0,2.5,0.0,0.6,0.0,10.0,200.0,320.0,38.2,3.0,10.8,30.9,0.0,0.0,30.0,0.0
2018-04-09,Lunch,795.4,31.0,9.0,9.7,11.7,0.0,384.8,1090.1,556.0,79.3,15.2,3.4,43.7,32.5,0.0,10.3,28.0
2018-04-09,Dinner,746.8,18.6,8.4,0.5,6.3,0.0,0.0,383.0,775.0,73.1,5.8,17.5,69.8,3.1,88.1,43.1,6.0
2018-04-09,Snack,194.0,4.9,2.0,0.0,0.0,0.0,0.0,600.0,0.0,35.2,2.2,3.3,3.3,0.6,33.0,36.4,0.0
2018-04-09,Pre/postworkout,320.0,4.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4,3.4,64.9,0.0,0.0,0.0,0.0
2018-04-10,Lunch,602.6,26.2,3.7,0.0,0.0,0.0,0.0,69.2,320.0,49.7,3.0,5.5,38.7,104.0,7.0,3.0,2.0
2018-04-10,Dinner,802.0,19.3,7.4,0.1,0.0,0.0,0.0,301.8,1698.0,63.2,9.3,28.5,99.5,45.9,452.3,95.4,12.2
2018-04-10,Snack,244.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,54.6,4.1,0.9,2.7,0.3,16.5,18.2,0.0
2018-04-11,Lunch,780.8,35.7,12.1,4.6,12.8,0.0,0.8,620.0,520.0,70.2,12.5,4.6,38.0,0.0,0.0,0.0,0.0
2018-04-11,Dinner,769.6,17.7,8.4,0.5,6.3,0.0,0.0,401.0,700.0,69.6,4.1,14.7,81.4,3.8,3.8,48.8,0.0
2018-04-11,Snack,368.5,5.6,2.4,0.0,0.0,0.0,0.0,322.5,800.0,48.3,31.6,15.7,23.1,260.3,34.0,25.7,5.0
2018-04-11,Pre/postworkout,208.0,3.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.9,2.2,42.2,0.0,0.0,0.0,0.0
2018-04-12,Lunch,589.8,25.4,8.2,7.6,2.6,0.0,384.2,308.6,271.0,44.7,8.0,12.2,47.5,32.5,0.0,10.3,28.0
2018-04-12,Dinner,828.4,14.5,1.7,9.5,0.0,0.0,0.0,175.8,600.0,48.7,6.3,46.6,77.2,12.0,35.0,66.6,5.0
2018-04-13,Lunch,621.8,32.9,10.5,6.4,2.0,0.0,384.2,307.1,271.0,44.2,2.4,9.5,37.2,32.5,0.0,10.3,28.0
2018-04-13,Dinner,718.3,27.9,3.6,7.1,8.1,0.0,0.0,100.2,948.0,31.5,8.1,14.9,90.4,39.6,446.0,14.1,12.2
2018-04-13,Snack,87.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,1.0,0.9,0.9,0.3,16.5,18.2,0.0
2018-04-14,Lunch,759.2,31.2,13.6,11.0,2.9,0.0,384.8,706.0,556.0,61.0,9.6,2.0,54.2,32.5,0.0,10.3,28.0
2018-04-14,Dinner,2084.9,54.9,13.8,6.1,0.4,0.0,86.4,702.0,65.0,71.8,7.6,35.4,61.6,6.0,6.0,7.7,17.6
